,Counties,Count
0,Alameda,32
1,Alpine,2
2,Amador,13
3,Butte,66
4,Calaveras,22
5,Colusa,6
6,Contra Costa,27
7,Del Norte,6
8,El Dorado,37
9,Fresno,57
10,Glenn,8
11,Humboldt,25
12,Inyo,12
13,Kern,62
14,Kings,5
15,Lake,49
16,Lassen,36
17,Los Angeles,46
18,Madera,36
19,Marin,6
20,Mariposa,35
21,Mendocino,28
22,Merced,16
23,Mexico,2
24,Modoc,31
25,Mono,10
26,Monterey,45
27,Napa,25
28,Nevada,17
29,Orange,10
30,Placer,17
31,Plumas,11
32,Riverside,146
33,Sacramento,11
34,San Benito,20
35,San Bernardino,53
36,San Diego,89
37,San Joaquin,8
38,San Luis Obispo,64
39,San Mateo,3
40,Santa Barbara,29
41,Santa Clara,39
42,Santa Cruz,4
43,Shasta,64
44,Sierra,2
45,Siskiyou,57
46,Solano,19
47,Sonoma,18
48,Stanislaus,20
49,State of Nevada,1
50,State of Oregon,1
51,Sutter,3
52,Tehama,51
53,Trinity,21
54,Tulare,35
55,Tuolumne,22
56,Ventura,30
57,Yolo,12
58,Yuba,14
